,City,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind,Country,Date
358,Chokurdakh,70.6333,147.9167,-19.34,81,100,2.39,RU,1616264667
359,Ketchikan,55.3422,-131.6461,35.6,90,75,3.44,US,1616264667
360,Tiznit Province,29.5833,-9.5,54.34,47,72,19.04,MA,1616264668
361,Talcahuano,-36.7167,-73.1167,69.8,20,43,8.05,CL,1616264668
362,Leningradskiy,69.3833,178.4167,-14.66,100,87,1.07,RU,1616264668
363,Ballina,-28.8667,153.5667,71.6,75,94,5.75,AU,1616264669
364,Watsa,3.0372,29.5355,66.58,81,95,8.52,CD,1616264669
365,Tocopilla,-22.092,-70.1979,74.21,33,68,8.9,CL,1616264669
366,San Luis de la Paz,21.3,-100.5167,71.01,65,38,1.01,MX,1616264670
367,Wakefield,53.6809,-1.499,48.99,98,86,7.0,GB,1616264670
368,São José da Coroa Grande,-8.8978,-35.1478,82.47,8,68,11.74,BR,1616264671
369,Düzce,40.8389,31.1639,44.98,100,94,3.31,TR,1616264671
370,Kalangala,-0.3089,32.225,75.2,20,78,11.5,UG,1616264671
371,Owensboro,37.7742,-87.1133,60.01,1,33,4.59,US,1616264415
372,Artyom,40.4723,50.333,41.0,76,93,4.61,AZ,1616264672
373,Merano,46.6682,11.1595,44.6,0,15,10.36,IT,1616264584
374,Bouca,6.5105,18.2733,77.47,99,60,9.15,CF,1616264672
375,Flin Flon,54.7682,-101.865,51.8,75,37,5.75,CA,1616264673
376,Viadana,44.9333,10.5333,44.6,0,42,6.91,IT,1616264673
377,Kununurra,-15.7667,128.7333,75.2,40,100,10.36,AU,1616264673
378,Tibati,6.4667,12.6333,70.18,81,86,5.12,CM,1616264674
379,Mongaguá,-24.0931,-46.6208,87.01,75,79,6.91,BR,1616264674
380,Lahaina,20.8783,-156.6825,73.4,20,78,16.11,US,1616264674
381,Grand Gaube,-20.0064,57.6608,81.0,5,83,7.0,MU,1616264675
382,Nouakchott,18.0858,-15.9785,77.0,41,50,24.16,MR,1616264675
383,Port Augusta,-32.5,137.7667,64.4,100,94,2.3,AU,1616264676
384,Porosozero,62.7191,32.727,25.32,100,93,9.31,RU,1616264676
385,San Benito,36.6166,-121.0844,57.99,19,72,1.99,US,1616264676
386,Lipin Bor,60.2622,37.9763,17.2,100,91,11.3,RU,1616264677
387,Katsuura,35.1333,140.3,62.01,97,83,4.0,JP,1616264677
388,Kourou,5.1552,-52.6478,82.0,90,100,4.61,GF,1616264678
389,Macrohon,10.0797,124.9431,80.58,85,81,7.94,PH,1616264678
390,Nanortalik,60.1432,-45.2371,36.05,100,98,14.52,GL,1616264473
391,Raudeberg,61.9875,5.1352,39.0,94,90,22.48,NO,1616264679
392,Auki,-8.7676,160.7034,77.29,94,88,2.55,SB,1616264680
393,Mahanoro,-19.9,48.8,77.29,51,79,1.99,MG,1616264680
394,Methóni,36.8197,21.7049,61.0,75,82,6.91,GR,1616264680
395,Luau,-10.7073,22.2247,67.96,38,86,1.43,AO,1616264681
396,Tevaitoa,-16.7833,-151.5,82.92,60,63,5.44,PF,1616264681
397,Uppsala County,60.0,17.75,42.8,40,70,10.36,SE,1616264557
398,Tortolì,39.9256,9.6572,46.4,75,81,17.27,IT,1616264682
399,Bestöbe,52.4994,73.0975,34.63,100,86,18.54,KZ,1616264682
400,Belaya Gora,68.5333,146.4167,-17.3,43,93,1.41,RU,1616264682
401,Sibolga,1.7427,98.7792,76.46,100,87,3.44,ID,1616264683
402,Puerto Baquerizo Moreno,-0.9,-89.6,80.6,75,89,5.75,EC,1616264551
403,Kathu,7.9178,98.3332,88.0,20,83,6.44,TH,1616264683
404,Tomatlán,19.9333,-105.25,91.81,0,26,9.98,MX,1616264684
405,Fort Nelson,58.8053,-122.7002,8.6,75,66,10.36,CA,1616264684
406,Dale,38.1689,-86.99,60.8,1,35,4.59,US,1616264684
407,Fairbanks,64.8378,-147.7164,3.0,1,64,9.22,US,1616264494
408,Kawalu,-7.3817,108.2082,72.32,81,93,1.83,ID,1616264685
409,Jamame,0.0722,42.7506,78.22,95,80,9.44,SO,1616264685
410,Comodoro Rivadavia,-45.8667,-67.5,64.4,0,48,12.66,AR,1616264652
411,Aitape,-3.1374,142.3475,78.87,100,84,1.97,PG,1616264686
412,Santo Tomas,14.1079,121.1414,82.4,20,74,5.75,PH,1616264686
413,Kaseda-shirakame,31.4167,130.3167,60.01,98,100,3.0,JP,1616264687
414,Barra de Tecoanapa,16.5167,-98.75,84.22,0,54,10.58,MX,1616264687
415,Ampanihy,-24.7,44.75,79.88,71,59,8.81,MG,1616264687
416,Puksoozero,62.5903,40.6066,16.57,100,92,10.85,RU,1616264688
417,Te Anau,-45.4167,167.7167,49.26,82,92,1.21,NZ,1616264688
418,Chilca,-12.5211,-76.7372,80.6,0,54,9.22,PE,1616264688
419,Bayangol,50.6977,103.4656,9.28,67,86,3.2,RU,1616264689
420,Benghazi,32.1167,20.0667,68.32,9,50,6.38,LY,1616264689
421,Constitución,-35.3333,-72.4167,66.22,32,57,7.49,CL,1616264690
422,Bonthe,7.5264,-12.505,82.74,48,55,11.65,SL,1616264690
423,Yumaguzino,52.9041,56.3933,23.31,96,97,6.17,RU,1616264690
424,Alofi,-19.0595,-169.9187,75.2,95,100,3.44,NU,1616264691
425,Vila,42.0304,-8.1588,53.01,0,49,13.0,PT,1616264691
426,Sept-Îles,50.2001,-66.3821,26.6,40,63,6.91,CA,1616264692
427,Turukhansk,65.8167,87.9833,-8.82,55,74,16.82,RU,1616264475
428,Borba,-4.3878,-59.5939,83.73,64,83,3.33,BR,1616264692
429,Kavieng,-2.5744,150.7967,82.9,53,76,8.99,PG,1616264692
430,Shache,38.4167,77.2406,45.68,43,29,7.58,CN,1616264693
431,Gīdolē,5.65,37.3667,64.36,66,62,6.8,ET,1616264693
432,Port Hawkesbury,45.6169,-61.3485,37.0,90,51,11.5,CA,1616264694
433,Ixtapa,20.7,-105.2,78.8,1,47,8.05,MX,1616264694
434,Agirish,61.9247,63.0231,4.69,100,94,8.43,RU,1616264694
435,Zelenogorskiy,55.0333,87.0,33.8,0,44,15.66,RU,1616264474
436,Novaya Bryan’,51.7159,108.2691,19.4,63,73,4.47,RU,1616264695
437,Sambava,-14.2667,50.1667,78.33,93,86,8.95,MG,1616264695
438,Tual,-5.6667,132.75,83.86,71,67,4.59,ID,1616264696
439,Abnūb,27.2696,31.1511,87.8,0,20,12.66,EG,1616264696
440,Āsosa,10.0667,34.5333,78.03,77,37,1.12,ET,1616264697
441,Beringovskiy,63.05,179.3167,-4.77,100,92,14.67,RU,1616264566
442,Lingating,8.3317,124.6289,75.99,82,92,4.0,PH,1616264697
443,Poya,-21.35,165.15,72.43,99,86,5.17,NC,1616264697
444,Bladel,51.3683,5.2208,46.99,90,70,8.05,NL,1616264698
445,Margate,51.3813,1.3862,50.0,40,72,3.0,GB,1616264698
446,Hamilton,39.1834,-84.5333,57.99,1,23,5.77,US,1616264683
447,Kirkwall,58.9848,-2.9587,46.4,75,76,23.02,GB,1616264699
448,Airai,-8.9266,125.4092,60.87,83,86,2.21,TL,1616264699
449,Mehamn,71.0357,27.8492,31.35,100,83,16.35,NO,1616264699
450,Ust'-Kan,50.9276,84.761,25.2,87,62,6.22,RU,1616264475
451,Alekseyevka,50.6309,38.6903,31.82,97,78,1.86,RU,1616264700
452,Mnogovershinnyy,53.9353,139.9242,13.57,20,78,3.56,RU,1616264700
453,Uglekamensk,43.2172,133.2303,28.51,91,90,1.79,RU,1616264701
454,Valentín Gómez Farías,28.2167,-106.5833,66.6,0,22,6.91,MX,1616264701
455,Empório,40.4833,21.55,35.6,100,93,3.44,GR,1616264702
456,Zelenets,61.8849,50.7489,19.4,75,93,4.47,RU,1616264702
457,Arraial do Cabo,-22.9661,-42.0278,89.6,0,74,18.41,BR,1616264702
458,Ukiah,39.1502,-123.2078,52.0,1,62,6.55,US,1616264213
459,Jiwani,25.05,61.7417,77.45,3,75,8.75,PK,1616264523
460,Domna,51.8971,113.1573,21.2,75,58,13.42,RU,1616264703
461,Wangqing,43.3218,129.7634,33.3,100,98,3.4,CN,1616264703
462,Wyndham,37.6985,-77.6125,55.0,1,25,5.75,US,1616264704
463,Teknāf,20.8624,92.3058,73.15,51,60,6.58,BD,1616264704
464,Inta,66.0317,60.1659,10.11,94,92,0.96,RU,1616264705
465,Caucayá,-0.1934,-74.7819,84.02,67,77,4.68,CO,1616264705
466,Great Bend,38.3645,-98.7648,62.01,1,47,24.16,US,1616264642
467,Padang,-0.9492,100.3543,75.2,75,94,1.14,ID,1616264706
468,Ýpsonas,34.6884,32.9574,60.8,0,72,13.8,CY,1616264706
469,Kuusamo,65.9667,29.1833,26.6,0,93,6.91,FI,1616264707
470,Nemuro,43.3236,145.575,30.25,100,76,12.8,JP,1616264707
471,Touros,-5.1989,-35.4608,86.0,20,58,17.27,BR,1616264707
472,Phan Thiet,10.9333,108.1,75.45,23,92,5.86,VN,1616264708
473,Waddān,29.1614,16.139,76.95,3,12,4.56,LY,1616264708
474,Siniscola,40.5719,9.6922,48.2,0,57,6.91,IT,1616264708
475,Yeppoon,-23.1333,150.7333,75.2,90,94,9.22,AU,1616264709
476,Nhulunbuy,-12.2333,136.7667,78.8,75,94,3.44,AU,1616264709
477,Loukhi,66.0764,33.0381,25.47,99,93,4.59,RU,1616264535
478,Vadinsk,53.6916,43.0574,20.23,99,90,4.79,RU,1616264710
479,Ust'-Kulom,61.6864,53.6902,17.37,99,95,6.55,RU,1616264710
480,Riyadh,24.6877,46.7219,77.0,0,20,6.91,SA,1616264710
481,Calvinia,-31.4707,19.776,68.97,0,30,5.3,ZA,1616264711
482,Baião,-2.7906,-49.6717,86.49,92,61,2.15,BR,1616264711
483,Desaguadero,-16.5656,-69.0417,51.76,60,55,1.72,PE,1616264712
484,Pasān,22.85,82.2,71.11,13,30,1.19,IN,1616264712
485,Phalaborwa,-23.943,31.1411,75.2,9,73,4.61,ZA,1616264712
486,Dumas,35.8656,-101.9732,64.0,1,36,24.16,US,1616264713
487,Matara,5.9485,80.5353,78.22,87,83,2.3,LK,1616264713
488,Arrifes,37.7667,-25.7,59.0,75,72,11.5,PT,1616264713
489,Zyryanka,65.75,150.85,-11.87,0,82,7.14,RU,1616264714
490,Panjāb,34.388,67.0233,34.47,95,97,4.41,AF,1616264714
491,Lola,7.8,-8.5333,77.76,72,82,3.36,GN,1616264714
492,Poronaysk,49.2167,143.1167,19.04,94,80,1.77,RU,1616264715
493,Berlevåg,70.8578,29.0864,31.86,100,82,18.99,NO,1616264715
494,Chincholi,17.4667,77.4333,77.49,61,32,7.31,IN,1616264717
495,Shebunino,46.4339,141.8603,28.2,100,73,15.57,RU,1616264717
496,Daura,11.5538,11.4085,92.79,96,17,8.05,NG,1616264717
497,Batiano,7.5534,126.4907,75.92,92,86,3.31,PH,1616264718
498,Neutraubling,48.9833,12.2,30.99,90,47,0.76,DE,1616264718
499,Kasongo-Lunda,-6.4667,16.8167,75.33,95,84,1.07,CD,1616264718
500,Maragogi,-9.0122,-35.2225,82.18,10,69,12.19,BR,1616264719
501,Seddon,-37.8068,144.8916,66.0,75,88,3.27,AU,1616264719
502,Dnestrovsc,46.6222,29.9133,37.4,0,65,4.47,MD,1616264720
503,High Level,58.5169,-117.136,15.8,75,86,11.5,CA,1616264720
504,Petrokamenskoye,57.716,60.6484,18.05,100,95,6.71,RU,1616264720
505,Jūybār,36.6412,52.9124,52.25,0,78,4.74,IR,1616264721
506,Palauig,15.435,119.9045,80.08,15,77,4.47,PH,1616264721
507,Whitehorse,60.7161,-135.0538,10.0,20,78,2.3,CA,1616264721
508,Sant Julià de Loria,42.4625,1.4825,16.0,13,92,11.1,AD,1616264722
509,Urubichá,-15.3833,-62.95,79.38,72,94,4.16,BO,1616264722
510,Raja,8.4596,25.678,87.69,81,39,4.79,SS,1616264723
511,Boyabat,41.4689,34.7667,42.94,100,90,4.32,TR,1616264723
512,Staryy Nadym,65.6118,72.6842,-5.8,100,84,17.0,RU,1616264476
513,Arrondissement de Saint-Denis,48.9167,2.3333,46.99,0,57,4.61,FR,1616264723
514,Nishihara,26.1842,127.7558,71.6,75,94,10.36,JP,1616264724
515,Meadow Lake,34.8014,-106.5436,69.01,20,17,10.36,US,1616264724
516,Chapais,49.7834,-74.8492,46.4,1,36,12.66,CA,1616264725
517,Kozhva,65.1073,57.0459,10.94,98,96,2.55,RU,1616264725
518,Nouadhibou,20.931,-17.0347,66.2,57,72,23.02,MR,1616264725
519,Vardø,70.3705,31.1107,31.21,95,78,21.41,NO,1616264726
520,Yaan,7.3833,8.5667,84.2,100,60,11.05,NG,1616264726
521,Mrakovo,52.7161,56.6244,24.01,100,96,6.8,RU,1616264727
522,Khanbari,27.3747,87.2039,63.25,29,42,5.39,NP,1616264727
523,Bambanglipuro,-7.95,110.2833,77.23,89,87,4.36,ID,1616264727
524,Sitka,57.0531,-135.33,33.8,90,69,11.5,US,1616264728
525,Cayenne,4.9333,-52.3333,82.0,90,100,4.61,GF,1616264728
526,Curumaní,9.1999,-73.5427,95.56,87,40,2.26,CO,1616264728
527,Yerbogachën,61.2767,108.0108,-22.18,67,91,7.78,RU,1616264729
528,Peterhead,57.5058,-1.7981,48.2,75,81,25.32,GB,1616264729
529,Léo,11.1,-2.1,87.6,100,37,3.56,BF,1616264730
530,Petropavlovsk-Kamchatskiy,53.0452,158.6483,15.8,42,73,2.24,RU,1616264730
531,Susanville,40.4163,-120.653,42.8,75,42,11.5,US,1616264730
532,Puerto Carreño,6.189,-67.4859,98.67,28,24,15.03,CO,1616264731
533,Morón,-34.6534,-58.6198,69.01,100,89,1.99,AR,1616264508
534,Baharly,38.4362,57.4316,57.09,22,48,2.35,TM,1616264731
535,Libreville,0.3925,9.4537,78.8,20,89,4.61,GA,1616264732
536,Bud,39.447,-86.1758,55.0,0,43,7.2,US,1616264732
537,Kiryat Gat,31.61,34.7642,66.99,3,100,1.01,IL,1616264732
538,Batemans Bay,-35.7167,150.1833,71.01,100,83,1.99,AU,1616264733
539,Yumen,40.2833,97.2,27.9,67,24,7.72,CN,1616264733
540,Khuldābād,20.05,75.1833,73.08,11,39,1.81,IN,1616264465
541,Poum,-20.2333,164.0167,78.08,100,77,12.91,NC,1616264734
542,Amapá,1.0,-52.0,81.09,100,87,2.57,BR,1616264734
543,Kapit,2.0167,112.9333,75.02,100,99,0.98,MY,1616264735
544,Mühlhausen,51.2167,10.45,36.0,75,40,1.01,DE,1616264735
545,Kamaishi,39.2667,141.8833,47.46,100,97,8.34,JP,1616264735
546,Beloha,-25.1667,45.05,76.91,37,75,12.33,MG,1616264736
547,Bandarbeyla,9.4942,50.8122,78.19,0,75,11.77,SO,1616264463
548,San Matías,-16.3667,-58.4,83.03,65,80,7.83,BO,1616264736
549,Luena,-11.7833,19.9167,65.23,12,81,2.93,AO,1616264737
550,Nabīnagar,23.8917,90.9733,82.4,40,61,7.0,BD,1616264737
551,Buin,-33.7333,-70.75,73.4,20,31,4.61,CL,1616264737
552,Surgut,61.25,73.4167,23.0,75,100,4.47,RU,1616264738
553,Ziyang,29.2497,117.8547,50.36,100,87,3.91,CN,1616264738
554,Harar,9.3094,42.1258,62.28,21,36,4.36,ET,1616264739
